.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
120 68 0
120 68 0
120 67 0
120 66 0
119 64 0
118 64 0
117 63 0
117 62 0
116 61 0
115 61 0
115 60 0
114 59 0
112 58 0
111 57 0
108 57 0
105 56 0
102 56 0
99 55 0
96 55 0
94 55 0
91 55 0
88 56 0
85 57 0
81 59 0
78 62 0
74 65 0
71 69 0
68 72 0
65 76 0
63 79 0
61 83 0
60 85 0
59 88 0
58 91 0
57 93 0
56 96 0
56 98 0
56 101 0
56 103 0
56 106 0
56 109 0
56 112 0
56 115 0
57 118 0
57 120 0
58 123 0
60 125 0
61 127 0
63 130 0
65 131 0
68 133 0
70 135 0
73 137 0
76 138 0
79 139 0
82 140 0
85 141 0
88 142 0
92 142 0
96 142 0
101 142 0
105 142 0
110 142 0
114 141 0
118 140 0
122 139 0
125 138 0
128 137 0
131 136 0
134 135 0
136 134 0
138 134 0
139 133 0
140 133 0
141 132 0
142 131 0
143 130 0
144 128 0
145 127 0
146 125 0
147 122 0
148 120 0
148 118 0
149 117 0
149 116 0
149 115 0
149 114 0
149 113 0
149 112 0
149 110 0
149 109 0
149 107 0
149 106 0
149 104 0
148 102 0
148 101 0
147 99 0
147 98 0
146 97 0
145 96 0
145 95 0
144 94 0
143 93 0
143 92 0
142 91 0
141 90 0
140 89 0
139 88 0
137 87 0
136 86 0
135 85 0
134 83 0
132 81 0
131 80 0
129 78 0
128 77 0
126 75 0
125 74 0
124 73 0
122 71 0
121 70 0
119 69 0
118 68 0
116 67 0
115 66 0
114 65 0
113 64 0
112 63 0
111 62 0
110 61 0
.PEN_UP
