.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
65 43 0
65 43 0
66 43 0
66 44 0
66 46 0
67 48 0
67 51 0
67 54 0
67 58 0
68 64 0
68 70 0
68 76 0
68 84 0
68 91 0
68 99 0
67 106 0
67 112 0
67 117 0
67 121 0
68 124 0
69 126 0
69 128 0
70 129 0
71 129 0
72 129 0
73 129 0
76 129 0
78 129 0
81 129 0
84 129 0
88 129 0
92 129 0
98 129 0
104 130 0
110 130 0
117 131 0
125 131 0
133 131 0
142 129 0
150 127 0
156 126 0
160 124 0
163 123 0
164 122 0
165 122 0
165 121 0
165 120 0
165 119 0
165 118 0
165 117 0
165 116 0
165 113 0
165 110 0
165 107 0
165 102 0
165 98 0
165 93 0
164 88 0
164 83 0
164 78 0
164 74 0
163 70 0
163 67 0
163 64 0
163 61 0
163 59 0
163 56 0
163 54 0
163 53 0
163 52 0
163 51 0
163 50 0
163 49 0
163 48 0
163 47 0
163 46 0
162 45 0
162 44 0
162 43 0
162 42 0
162 41 0
162 40 0
162 39 0
162 38 0
162 37 0
162 36 0
162 35 0
162 34 0
163 33 0
163 32 0
163 31 0
162 31 0
161 31 0
160 31 0
158 31 0
155 31 0
152 31 0
149 31 0
144 32 0
139 33 0
133 34 0
128 35 0
122 36 0
117 36 0
112 37 0
106 38 0
101 38 0
96 39 0
91 40 0
87 41 0
84 42 0
81 43 0
79 44 0
78 44 0
78 45 0
.PEN_UP
