.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
57 62 0
57 62 0
58 63 0
60 65 0
62 67 0
65 71 0
68 75 0
71 79 0
74 85 0
78 91 0
81 97 0
84 103 0
88 109 0
91 116 0
95 122 0
98 127 0
101 132 0
103 136 0
105 138 0
106 140 0
106 139 0
105 138 0
105 137 0
105 135 0
106 132 0
107 129 0
110 125 0
113 120 0
117 115 0
123 110 0
129 104 0
137 99 0
146 93 0
154 88 0
162 84 0
169 80 0
175 77 0
180 74 0
184 72 0
187 71 0
188 70 0
188 69 0
187 69 0
187 70 0
186 71 0
185 71 0
184 72 0
183 72 0
181 73 0
179 73 0
176 73 0
173 73 0
168 73 0
161 72 0
152 71 0
142 69 0
130 68 0
118 67 0
105 66 0
93 66 0
81 65 0
71 65 0
63 65 0
57 65 0
54 65 0
54 64 0
.PEN_UP
