.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
105 52 0
105 52 0
105 51 0
106 51 0
106 50 0
105 52 0
103 54 0
101 58 0
98 62 0
94 67 0
90 73 0
85 80 0
79 86 0
72 93 0
65 99 0
59 105 0
53 110 0
49 115 0
45 118 0
43 120 0
43 122 0
42 122 0
42 123 0
41 124 0
41 125 0
43 125 0
45 126 0
49 126 0
54 126 0
60 126 0
68 126 0
78 126 0
90 125 0
104 124 0
119 123 0
135 122 0
149 121 0
162 120 0
172 120 0
179 120 0
185 120 0
188 120 0
190 120 0
191 120 0
190 119 0
189 119 0
188 118 0
185 118 0
183 117 0
180 116 0
178 115 0
175 114 0
172 112 0
169 110 0
166 107 0
162 103 0
157 97 0
152 91 0
146 85 0
140 79 0
135 73 0
130 68 0
125 64 0
120 60 0
116 57 0
112 54 0
108 52 0
105 50 0
103 48 0
101 47 0
100 46 0
100 45 0
99 45 0
.PEN_UP
