.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
104 78 0
104 78 0
103 78 0
102 78 0
101 78 0
100 78 0
99 78 0
98 78 0
97 78 0
97 79 0
96 79 0
96 80 0
95 81 0
94 82 0
94 83 0
93 84 0
93 85 0
92 86 0
92 87 0
92 88 0
91 90 0
90 91 0
90 92 0
90 93 0
90 94 0
90 95 0
89 96 0
89 97 0
89 98 0
88 100 0
88 101 0
88 103 0
88 104 0
87 105 0
87 106 0
87 107 0
87 109 0
87 110 0
87 111 0
87 112 0
87 113 0
87 114 0
87 115 0
87 116 0
87 117 0
87 118 0
87 119 0
87 120 0
88 122 0
89 123 0
89 124 0
89 125 0
90 126 0
91 127 0
91 128 0
91 129 0
92 130 0
92 131 0
92 132 0
93 132 0
94 133 0
94 134 0
95 135 0
96 136 0
97 137 0
97 138 0
98 138 0
98 140 0
100 140 0
101 142 0
102 143 0
104 144 0
105 145 0
106 145 0
107 145 0
108 145 0
109 146 0
110 146 0
111 146 0
112 147 0
114 147 0
115 147 0
116 147 0
118 147 0
119 147 0
120 147 0
121 147 0
123 147 0
125 147 0
126 147 0
127 147 0
127 146 0
128 146 0
128 145 0
129 145 0
130 145 0
130 143 0
132 143 0
132 141 0
133 140 0
133 139 0
135 138 0
135 137 0
135 135 0
136 134 0
136 133 0
137 131 0
137 129 0
137 128 0
138 126 0
139 124 0
139 123 0
139 121 0
140 120 0
140 118 0
140 116 0
140 115 0
140 114 0
140 112 0
140 111 0
140 110 0
140 109 0
140 108 0
140 107 0
140 105 0
140 104 0
140 103 0
140 102 0
140 101 0
140 99 0
140 98 0
140 97 0
140 96 0
140 95 0
140 94 0
140 92 0
140 91 0
140 90 0
140 89 0
139 88 0
139 87 0
138 86 0
138 85 0
137 84 0
136 83 0
135 82 0
134 82 0
134 81 0
132 81 0
132 80 0
131 80 0
131 79 0
130 79 0
130 78 0
129 78 0
128 78 0
127 78 0
126 78 0
125 78 0
124 78 0
123 78 0
121 78 0
120 78 0
119 78 0
118 78 0
116 78 0
115 78 0
114 78 0
113 78 0
112 78 0
111 78 0
110 78 0
109 78 0
108 78 0
107 78 0
106 78 0
105 78 0
104 78 0
103 78 0
102 78 0
101 78 0
.PEN_UP
