.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
109 127 0
109 127 0
109 128 0
108 128 0
107 127 0
106 126 0
104 124 0
102 122 0
100 119 0
97 115 0
93 112 0
89 107 0
85 102 0
80 97 0
75 91 0
70 85 0
64 79 0
60 73 0
55 68 0
51 64 0
48 61 0
42 56 0
40 55 0
39 55 0
39 54 0
39 55 0
39 56 0
40 56 0
40 57 0
41 58 0
42 58 0
43 58 0
46 59 0
50 59 0
56 59 0
62 59 0
70 58 0
77 57 0
84 56 0
92 55 0
100 54 0
108 52 0
117 51 0
126 49 0
134 48 0
142 47 0
150 46 0
155 46 0
159 45 0
163 45 0
165 44 0
166 44 0
168 44 0
170 44 0
171 44 0
172 44 0
174 44 0
175 44 0
177 44 0
178 44 0
179 44 0
180 44 0
181 44 0
182 44 0
182 45 0
181 45 0
181 46 0
179 48 0
178 50 0
175 52 0
173 55 0
170 59 0
166 64 0
161 70 0
155 77 0
148 85 0
141 93 0
134 100 0
128 108 0
123 114 0
118 120 0
115 125 0
112 130 0
111 133 0
110 135 0
109 136 0
.PEN_UP
