.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
109 38 0
109 38 0
108 37 0
107 37 0
107 38 0
107 39 0
108 42 0
110 44 0
112 47 0
114 51 0
117 55 0
120 59 0
123 63 0
128 68 0
133 74 0
138 79 0
145 84 0
151 90 0
157 94 0
163 99 0
169 103 0
174 106 0
178 109 0
182 111 0
185 113 0
187 114 0
188 114 0
189 115 0
188 115 0
187 115 0
185 115 0
183 115 0
180 115 0
175 115 0
170 116 0
164 118 0
157 120 0
149 122 0
141 124 0
133 126 0
126 127 0
118 128 0
110 129 0
103 130 0
95 131 0
89 131 0
82 131 0
76 132 0
70 132 0
64 133 0
57 134 0
51 135 0
46 136 0
42 136 0
40 137 0
39 137 0
40 137 0
41 136 0
43 134 0
45 131 0
48 127 0
52 122 0
55 116 0
60 109 0
64 102 0
69 94 0
73 87 0
77 80 0
81 73 0
83 66 0
86 61 0
88 55 0
90 51 0
91 48 0
92 45 0
93 43 0
94 42 0
94 43 0
.PEN_UP
